"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","RelationshipPerpetrator","Source","Dataset","ICVACCategory"
"Latvia","LVA","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2017,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Portugal","PRT","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2017,13,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Uzbekistan","UZB","Victims of intentional homicide",2017,25,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Kosovo under UNSCR 1244","XKX","Victims of intentional homicide",2017,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2018,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2018,8,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Estonia","EST","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2018,5,"Female","15-17","Counts","Total","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Georgia","GEO","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2018,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Portugal","PRT","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2018,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2018,9,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Uzbekistan","UZB","Victims of intentional homicide",2018,16,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Kosovo under UNSCR 1244","XKX","Victims of intentional homicide",2018,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2019,3,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2019,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2019,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2019,2,"Female","15-17","Counts","Total","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2019,3,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Portugal","PRT","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Serbia","SRB","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2019,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2019,7,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Kosovo under UNSCR 1244","XKX","Victims of intentional homicide",2019,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2020,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2020,4,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Estonia","EST","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2020,1,"Female","15-17","Counts","Total","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2020,2,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2020,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2020,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Portugal","PRT","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2020,31,"Female","15-17","Counts","Total","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2020,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2020,12,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Kosovo under UNSCR 1244","XKX","Victims of intentional homicide",2020,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2021,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2021,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2021,5,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Estonia","EST","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2021,3,"Female","15-17","Counts","Total","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2021,3,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2021,6,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Portugal","PRT","Victims of intentional homicide",2021,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2021,34,"Female","15-17","Counts","Total","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2021,12,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Kosovo under UNSCR 1244","XKX","Victims of intentional homicide",2021,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2022,8,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Estonia","EST","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2022,4,"Female","15-17","Counts","Total","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2022,1,"Female","15-17","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Türkiye","TUR","Victims of intentional homicide",2022,20,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2022,0,"Female","15-17","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2010,2,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2010,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Serbia","SRB","Victims of intentional homicide",2010,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2010,0,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2011,2,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2011,0,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2011,3,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2012,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Serbia","SRB","Victims of intentional homicide",2012,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2012,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2013,0,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2013,1,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2013,6,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2013,3,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2013,3,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2013,6,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2013,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2013,4,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2013,1,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2013,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2013,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Serbia","SRB","Victims of intentional homicide",2013,1,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2013,3,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2013,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2014,4,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Denmark","DNK","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2014,2,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2014,4,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2014,3,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2014,2,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Norway","NOR","Victims of intentional homicide",2014,0,"Male","18-19","Counts","Total","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Serbia","SRB","Victims of intentional homicide",2014,3,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2014,2,"Male","18-19","Counts","Total","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
