"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","Comments","Reliability","WealthQuintile"
"Malta","MLT","Human trafficking  -  Total - Children","2016",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2016",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2016",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2016",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2009",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2007",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2010",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2007",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2009",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2010",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2013",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2012",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2013",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2013",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2013",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2012",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2012",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2007",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2012",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2009",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2010",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2014",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2018",6,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2015",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2016",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",5,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2015",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2007",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2014",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",5,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",6,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",10,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",199,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","199",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",169,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","169",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",279,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","279",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",111,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","111",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",152,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","152",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",195,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","195",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",288,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","288",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",9,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","9",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",223,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","223",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",259,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","259",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2019",108,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","108",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",7,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","7",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",70,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","70",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",7,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","7",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",5,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",10,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",16,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","16",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2020",68,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","68",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",32,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","32",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",65,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","65",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",25,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","25",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",66,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","66",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",56,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","56",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",13,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","13",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",227,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","227",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",62,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","62",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",173,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","173",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",52,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","52",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",218,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","218",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",182,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","182",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",164,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","164",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",194,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","194",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",10,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",214,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","214",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",104,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","104",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",54,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","54",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",198,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","198",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",145,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","145",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",75,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","75",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",227,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","227",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",185,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","185",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",70,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","70",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",154,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","154",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",NA,"Other",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",39,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","39",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2011",26,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","26",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2012",30,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","30",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2013",10,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",18,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","18",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2015",15,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","15",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",35,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","35",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2009",19,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","19",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",45,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","45",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",49,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","49",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2009",50,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","50",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2011",21,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","21",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2016",18,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","18",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2015",42,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","42",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",19,"Female",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","19",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",36,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","36",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2012",56,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","56",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2013",19,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","19",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2011",47,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","47",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",94,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","94",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",54,"Total",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","54",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2012",26,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","26",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",18,"Male",NA,"Counts","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","18",NA,NA
