"Country","ISO3","Year","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","Reliability","Sex","WealthQuintile","RelationshipPerpetrator"
"France","FRA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",11.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Croatia","HRV","2021",NA,"Women who have experienced sexual violence during childhood","Rate",4.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Lithuania","LTU","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.6,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (F/M)"
"Latvia","LVA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",2.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Montenegro","MNE","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (F/M)"
"Malta","MLT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",4.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Netherlands (Kingdom of the)","NLD","2021",NA,"Women who have experienced sexual violence during childhood","Rate",12.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Poland","POL","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Portugal","PRT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",3.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Serbia","SRB","2021",NA,"Women who have experienced sexual violence during childhood","Rate",0.7,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (F/M)"
"Slovenia","SVN","2021",NA,"Women who have experienced sexual violence during childhood","Rate",6.6,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Slovakia","SVK","2021",NA,"Women who have experienced sexual violence during childhood","Rate",8.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (F/M)"
"Kosovo","XKX","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (F/M)"
"Austria","AUT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",6.7,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Belgium","BEL","2021",NA,"Women who have experienced sexual violence during childhood","Rate",8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Bulgaria","BGR","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Denmark","DNK","2021",NA,"Women who have experienced sexual violence during childhood","Rate",10.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Estonia","EST","2021",NA,"Women who have experienced sexual violence during childhood","Rate",5.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Greece","GRC","2021",NA,"Women who have experienced sexual violence during childhood","Rate",7.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Spain","ESP","2021",NA,"Women who have experienced sexual violence during childhood","Rate",6.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Finland","FIN","2021",NA,"Women who have experienced sexual violence during childhood","Rate",12.9,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"France","FRA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",10,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Croatia","HRV","2021",NA,"Women who have experienced sexual violence during childhood","Rate",4.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Lithuania","LTU","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (M)"
"Latvia","LVA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",2.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Montenegro","MNE","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (M)"
"Malta","MLT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",4.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Netherlands (Kingdom of the)","NLD","2021",NA,"Women who have experienced sexual violence during childhood","Rate",11.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Poland","POL","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.6,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Portugal","PRT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",3.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Serbia","SRB","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (M)"
"Slovenia","SVN","2021",NA,"Women who have experienced sexual violence during childhood","Rate",5.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Slovakia","SVK","2021",NA,"Women who have experienced sexual violence during childhood","Rate",7.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Perpetrators (M)"
"Kosovo","XKX","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Perpetrators (M)"
"Austria","AUT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Belgium","BEL","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Bulgaria","BGR","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Denmark","DNK","2021",NA,"Women who have experienced sexual violence during childhood","Rate",2.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Estonia","EST","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Greece","GRC","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Spain","ESP","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Finland","FIN","2021",NA,"Women who have experienced sexual violence during childhood","Rate",2.8,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"France","FRA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.6,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Croatia","HRV","2021",NA,"Women who have experienced sexual violence during childhood","Rate",0.7,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Lithuania","LTU","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Latvia","LVA","2021",NA,"Women who have experienced sexual violence during childhood","Rate",0.9,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Montenegro","MNE","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Malta","MLT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",0.9,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Netherlands (Kingdom of the)","NLD","2021",NA,"Women who have experienced sexual violence during childhood","Rate",2.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Poland","POL","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Portugal","PRT","2021",NA,"Women who have experienced sexual violence during childhood","Rate",0.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Serbia","SRB","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Slovenia","SVN","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
"Slovakia","SVK","2021",NA,"Women who have experienced sexual violence during childhood","Rate",1.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,"Stranger (F/M)"
"Kosovo","XKX","2021",NA,"Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,"Stranger (F/M)"
